,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
0,Beware,spotify:track:6bxUnsSGZCmoHHU5auwtps,6bxUnsSGZCmoHHU5auwtps,Big Sean,0,0.7,0.554,1,1,0.219,1.36e-06,97.127,0.0633,0.187,-5.909,angry
1,I'm Out (feat. Nicki Minaj),spotify:track:3c7MNgwEBQTnrOWLjU1DHq,3c7MNgwEBQTnrOWLjU1DHq,Ciara,1,0.737,0.723,0,1,0.0864,4.47e-06,148.113,0.555,0.261,-5.834,angry
2,wish u the best,spotify:track:23xup5SPK9QGT5Rs5qUzOm,23xup5SPK9QGT5Rs5qUzOm,blackbear,2,0.802,0.495,2,0,0.0232,0.0,114.991,0.47,0.188,-6.154,angry
3,Forgetting All About You feat. Blackbear,spotify:track:3T6Mtmmx5OfrIUFfpJ1uB1,3T6Mtmmx5OfrIUFfpJ1uB1,Phoebe Ryan,3,0.717,0.668,6,0,0.0201,0.0,80.02,0.936,0.0693,-4.845,angry
4,Bad Bitch (feat. Ty Dolla $ign),spotify:track:4ZJPwET9Jrgpkqi4Vo3Yg8,4ZJPwET9Jrgpkqi4Vo3Yg8,Bebe Rexha,4,0.656,0.615,5,1,0.0283,0.0,139.91,0.366,0.0539,-6.252,angry
5,motherlove,spotify:track:32K03Gjk3OVL7fMQqrI5gA,32K03Gjk3OVL7fMQqrI5gA,Bea Miller,5,0.551,0.885,1,0,0.00107,0.0,155.923,0.708,0.191,-3.725,angry
6,Level Up,spotify:track:5ubwXXOsH9bUhZsQ0Cybha,5ubwXXOsH9bUhZsQ0Cybha,Ciara,1,0.746,0.825,1,1,0.0142,0.0107,152.914,0.584,0.169,-4.666,angry
7,Hurts Like Hell (feat. Offset),spotify:track:3WefHNGtjexZvi66ZEx9u4,3WefHNGtjexZvi66ZEx9u4,Madison Beer,6,0.704,0.56,1,0,0.185,0.0,75.003,0.609,0.179,-6.791,angry
8,"thank u, next",spotify:track:2rPE9A1vEgShuZxxzR2tZH,2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,7,0.724,0.647,1,1,0.28,0.0,106.96,0.435,0.0658,-5.642,angry
9,Fuck Feelings,spotify:track:3HzcPKuTJyMmkWDgzswarl,3HzcPKuTJyMmkWDgzswarl,Olivia O'Brien,8,0.813,0.351,8,0,0.27,0.0,104.981,0.472,0.0442,-6.568,angry
10,Don’t Play,spotify:track:7hHTbI9DRg8u9oJ92RQJkw,7hHTbI9DRg8u9oJ92RQJkw,Halsey,9,0.721,0.709,10,0,0.0566,3.95e-05,99.961,0.341,0.0486,-7.939,angry
11,Nunya (feat. Dom Kennedy),spotify:track:0tkmYNfaEaH9HpR59ApRtE,0tkmYNfaEaH9HpR59ApRtE,Kehlani,10,0.675,0.71,1,1,0.39,0.0,97.98,0.574,0.21,-4.027,angry
12,Don't Hurt Yourself (feat. Jack White),spotify:track:78eouBKVRyhbSzJwChr6QM,78eouBKVRyhbSzJwChr6QM,Beyoncé,11,0.614,0.686,9,0,0.0105,1.36e-06,136.537,0.645,0.21,-6.483,angry
13,Sorry,spotify:track:0lnIJmgcUpEpe4AZACjayW,0lnIJmgcUpEpe4AZACjayW,Beyoncé,11,0.775,0.598,2,1,0.00175,4.44e-06,129.988,0.356,0.0535,-7.274,angry
14,Nightmare,spotify:track:340UVheS8z3ncW9TTUhAbc,340UVheS8z3ncW9TTUhAbc,Halsey,9,0.611,0.622,9,0,0.0188,0.0,146.11,0.538,0.0734,-5.075,angry
15,Money In The Grave (Drake ft. Rick Ross),spotify:track:5ry2OE6R2zPQFDO85XkgRb,5ry2OE6R2zPQFDO85XkgRb,Drake,12,0.831,0.502,10,0,0.101,0.0,100.541,0.101,0.046,-4.045,angry
16,Thanks I Get,spotify:track:7bn4QtVzHCzjSxxAWdPMuD,7bn4QtVzHCzjSxxAWdPMuD,Iggy Azalea,13,0.876,0.587,6,0,0.0113,0.000307,82.511,0.528,0.193,-10.281,angry
17,Rules,spotify:track:1TMWcbxL5YF8rKsFHv5hAP,1TMWcbxL5YF8rKsFHv5hAP,Doja Cat,14,0.664,0.724,7,1,0.171,0.0,144.052,0.697,0.116,-5.457,angry
18,B*tch From Da Souf (Remix),spotify:track:2zUbimuKNWDMCwbqNauLWV,2zUbimuKNWDMCwbqNauLWV,Mulatto,15,0.834,0.531,1,1,0.0662,0.0,150.126,0.415,0.36,-5.708,angry
