,Unnamed: 0,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
2434,2434,Save The World,spotify:track:65hRZOQkVjmBdusz1N7aOv,65hRZOQkVjmBdusz1N7aOv,Swedish House Mafia,98,0.507,0.665,0,1,0.0144,0,126.879,0.4,0.0474,-7.598,party
2488,3081,Baby-Baby-Baby,spotify:track:1zTuB57LYZa7xu7KUH8kF0,1zTuB57LYZa7xu7KUH8kF0,TLC,954,0.679,0.597,11,0,0.0913,0.0006730000000000001,184.174,0.9,0.0439,-8.601,angry
911,1140,Little Love,spotify:track:34MI5WgHZyRNZXPUhf7Ggb,34MI5WgHZyRNZXPUhf7Ggb,Gabriel Kahane,499,0.39899999999999997,0.047,7,1,0.986,0.00775,80.998,0.271,0.0485,-17.162,sad
4489,4489,Sweet Caroline,spotify:track:62AuGbAkt8Ox2IrFFb8GKV,62AuGbAkt8Ox2IrFFb8GKV,Neil Diamond,858,0.529,0.127,11,1,0.611,0.000109,63.05,0.578,0.0274,-16.066,party
1219,1554,6,spotify:track:5DqwziN7E9MduNZ2m8D7aK,5DqwziN7E9MduNZ2m8D7aK,furino,634,0.59,0.615,2,1,0.894,0.899,139.857,0.518,0.4,-8.495,sad
1584,1913,Stick Out,spotify:track:0jakaHRU7ubOzJTseh6tJu,0jakaHRU7ubOzJTseh6tJu,Pouya,686,0.77,0.853,10,0,0.0042,0.0009609999999999999,164.037,0.615,0.221,-3.8489999999999998,angry
2375,2963,The Promise,spotify:track:4D6jdqqYJGpSDopKbwUNEL,4D6jdqqYJGpSDopKbwUNEL,In This Moment,405,0.354,0.96,9,0,0.0654,0.0,150.056,0.15,0.0869,-2.975,angry
1145,1286,My Curse,spotify:track:6zKF4293k44ItKWJJgrhXv,6zKF4293k44ItKWJJgrhXv,Killswitch Engage,449,0.19699999999999998,0.956,10,0,7.609999999999999e-05,0.00992,177.018,0.209,0.0663,-2.908,angry
11589,11589,Dior,spotify:track:79s5XnCN4TJKTVMSmOx8Ep,79s5XnCN4TJKTVMSmOx8Ep,Pop Smoke,188,0.548,0.805,7,1,0.212,0.000389,142.094,0.648,0.351,-5.732,party
807,807,Yeah!,spotify:track:2PkeVPcL32LA96cK5ySC3c,2PkeVPcL32LA96cK5ySC3c,Usher,103,0.895,0.795,2,1,0.0219,0,105.004,0.574,0.0977,-4.693,party
320,322,My Name Is Human,spotify:track:1euszbbvkUzQzIhZUWFmXG,1euszbbvkUzQzIhZUWFmXG,Highly Suspect,168,0.515,0.698,2,0,5.7100000000000006e-05,8.640000000000001e-05,139.96,0.19399999999999998,0.0279,-5.572,angry
831,903,Song of the South,spotify:track:4uUwD0uYzIDjKMKQglzmD2,4uUwD0uYzIDjKMKQglzmD2,Alabama,379,0.486,0.647,9,1,0.18899999999999997,0.0,162.218,0.628,0.0337,-8.066,angry
2029,2641,Silence (Single Edit),spotify:track:5XYtJZ9wni1VDb7YHDEEpm,5XYtJZ9wni1VDb7YHDEEpm,Delerium,1006,0.523,0.705,9,0,0.21899999999999997,0.00278,97.921,0.32,0.0327,-8.076,sad
535,567,I Stand Alone,spotify:track:6pGJTJaExyKwwXBmcoyVlY,6pGJTJaExyKwwXBmcoyVlY,Godsmack,149,0.21100000000000002,0.9209999999999999,0,1,4.51e-05,0.0,171.9,0.35100000000000003,0.0729,-4.468,angry
509,596,Death with Dignity,spotify:track:4fpEuKIzTLmMJnYwFU0oqr,4fpEuKIzTLmMJnYwFU0oqr,Sufjan Stevens,279,0.51,0.16,4,1,0.986,0.017,170.063,0.38299999999999995,0.0395,-21.03,sad
707,753,Brokenhearted,spotify:track:4urcG6Nfubqsuqy3juMjBi,4urcG6Nfubqsuqy3juMjBi,Karmin,331,0.765,0.765,1,0,0.00765,3.82e-06,120.001,0.8859999999999999,0.0585,-2.7319999999999998,angry
944,1173,Kolokani,spotify:track:2Sg0ITLH5edMAsklGSpAvP,2Sg0ITLH5edMAsklGSpAvP,Rokia Traoré,525,0.655,0.147,7,1,0.956,0.0,126.985,0.7120000000000001,0.0439,-14.61,sad
616,721,I Wanna Go Down With You,spotify:track:7aDX6FMpAW6WFEWiKJnXKe,7aDX6FMpAW6WFEWiKJnXKe,Russ,54,0.5329999999999999,0.21,0,1,0.889,0.0,140.34,0.4,0.038,-12.402000000000001,sad
4376,4376,hot girl bummer,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,7aiClxsDWFRQ0Kzk5KI5ku,blackbear,237,0.778,0.559,6,0,0.128,0,129.989,0.678,0.0776,-7.109,party
1600,2003,We Don't Talk Anymore - Attom Remix,spotify:track:58ENoZ4jRR0tnHPagOwYqk,58ENoZ4jRR0tnHPagOwYqk,Charlie Puth,814,0.685,0.672,1,0,0.0869,5.539999999999999e-05,100.009,0.335,0.102,-7.236000000000001,sad
2465,2465,Din soldat,spotify:track:3zdv56EdfZi0ydbAZqbQ3M,3zdv56EdfZi0ydbAZqbQ3M,Albin Johnsén,1095,0.741,0.916,9,1,0.174,0,130.05,0.79,0.185,-2.47,party
3968,3968,Mafiosa (feat. Caroliina),spotify:track:0WxiQqTcK3ZErx2mMWgtm6,0WxiQqTcK3ZErx2mMWgtm6,Lartiste,1697,0.867,0.724,6,1,0.258,0,128.97,0.757,0.0978,-4.266,party
959,1041,The Monster,spotify:track:72gGeQ0dZ7E8RlBeNJNJkb,72gGeQ0dZ7E8RlBeNJNJkb,Eminem,23,0.785,0.86,9,1,0.0556,0.0,110.04799999999999,0.623,0.0794,-3.642,angry
6051,6051,Billie Jean,spotify:track:5ChkMS8OtdzJeqyybCc9R5,5ChkMS8OtdzJeqyybCc9R5,Michael Jackson,249,0.92,0.654,11,0,0.0236,0.0158,117.046,0.847,0.0401,-3.051,party
2090,2595,The Way Life Goes (feat. Oh Wonder),spotify:track:2eAZfqOm4EnOF9VvN50Tyc,2eAZfqOm4EnOF9VvN50Tyc,Lil Uzi Vert,45,0.703,0.757,1,1,0.617,0.0,82.008,0.696,0.05,-3.612,angry
1000,1282,Killuminati (feat. Foreign Teck),spotify:track:4jrQ6PZoSYblXYlgXFkUYk,4jrQ6PZoSYblXYlgXFkUYk,YNW Melly,48,0.601,0.528,6,0,0.303,0.0,172.141,0.621,0.375,-7.0729999999999995,sad
1895,1895,Mariana,spotify:track:1omsGCyXOwY4zk6VuhxRuE,1omsGCyXOwY4zk6VuhxRuE,Gallina Pintadita,890,0.828,0.797,11,1,0.428,0,141.082,0.967,0.0406,-5.129,party
2011,2623,Echoes in Rain,spotify:track:0SnuyyC6tCDAdCfrgc9OeF,0SnuyyC6tCDAdCfrgc9OeF,Enya,654,0.693,0.396,9,1,0.826,0.8029999999999999,93.875,0.499,0.0298,-9.427999999999999,sad
2323,2910,Returns,spotify:track:2uEuo87JC9tc1dzmPUtOxj,2uEuo87JC9tc1dzmPUtOxj,NF,337,0.653,0.828,5,0,0.406,0.0,75.684,0.7090000000000001,0.312,-4.502,angry
11693,11693,Startender (feat. Offset and Tyga),spotify:track:6uSSupG4TMu3vW8QgynAB6,6uSSupG4TMu3vW8QgynAB6,A Boogie Wit da Hoodie,147,0.736,0.622,6,0,0.0235,0,191.971,0.506,0.133,-4.653,party
1419,1691,Going Bad (feat. Drake),spotify:track:2IRZnDFmlqMuOrYOLnZZyc,2IRZnDFmlqMuOrYOLnZZyc,Meek Mill,30,0.889,0.496,4,0,0.259,0.0,86.00299999999999,0.544,0.0905,-6.365,angry
2298,2885,Bad Energy,spotify:track:7d94IqWX2UmSKMGUYSGFJG,7d94IqWX2UmSKMGUYSGFJG,Juice WRLD,659,0.654,0.452,7,1,0.17,0.0,138.034,0.532,0.0439,-6.36,angry
1137,1275,So Far Away,spotify:track:6FOpPA0a80RuBqqgDozvja,6FOpPA0a80RuBqqgDozvja,Staind,280,0.40700000000000003,0.8959999999999999,6,1,0.012,0.0,138.697,0.156,0.063,-2.935,angry
9975,9975,Game Time (feat. Sage the Gemini),spotify:track:2gZy1KFFKUgw3IbRNhZEz3,2gZy1KFFKUgw3IbRNhZEz3,Flo Rida,93,0.72,0.814,7,1,0.0208,0.00298,91.99,0.503,0.0488,-4.533,party
