,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
0,Put Your Records On,spotify:track:1fah1uAs7HeTYDlNftKr3K,1fah1uAs7HeTYDlNftKr3K,Ritt Momney,0,0.399,0.492,6,0,0.058,0.00101,91.066,0.159,0.0538,-10.777,chill
1,Falling For You with Justin Bieber,spotify:track:24MWSatP5sTylISvJONhnB,24MWSatP5sTylISvJONhnB,Jaden,1,0.69,0.541,4,1,0.721,4.64e-05,130.024,0.787,0.042,-9.259,chill
2,Paradise,spotify:track:7I1o2kV5OG6mrQk8Al51ja,7I1o2kV5OG6mrQk8Al51ja,Vide,2,0.495,0.381,11,1,0.805,3.06e-06,81.262,0.234,0.0337,-9.957,chill
3,House With No Mirrors,spotify:track:55vsJO4tLZQ37qzD5QUOmh,55vsJO4tLZQ37qzD5QUOmh,Sasha Sloan,3,0.72,0.408,2,1,0.832,2.61e-06,121.972,0.341,0.0498,-11.725,chill
4,Over Now (with The Weeknd),spotify:track:58AGoOGbwsQMhBbH0eFLRR,58AGoOGbwsQMhBbH0eFLRR,Calvin Harris,4,0.612,0.884,4,0,0.0759,0.00132,178.043,0.679,0.0454,-4.113,chill
5,Hell N Back,spotify:track:3NRql0A1Ef4RCvT473iqgD,3NRql0A1Ef4RCvT473iqgD,Bakar,5,0.584,0.684,10,0,0.312,9.05e-05,210.164,0.72,0.567,-4.314,chill
6,Change,spotify:track:1ztB2LwqXxn0IH2jMrKvDw,1ztB2LwqXxn0IH2jMrKvDw,Teddy Failure,6,0.521,0.493,0,0,0.814,0.0207,171.952,0.495,0.0302,-10.264,chill
7,if i were u (with Lauv),spotify:track:0CF1RH8dQKuK2lQPSQw2lZ,0CF1RH8dQKuK2lQPSQw2lZ,blackbear,7,0.666,0.628,8,1,0.144,0,82.992,0.767,0.0623,-5.613,chill
8,Every Time You Go Away,spotify:track:5OtvDpNhxUde1hkAjvzSzE,5OtvDpNhxUde1hkAjvzSzE,Lennon Stella,8,0.322,0.127,7,1,0.894,5.99e-05,144.2,0.119,0.0352,-14.197,chill
9,Baby,spotify:track:7LjEQ8GsQiUNVakV6TZI0e,7LjEQ8GsQiUNVakV6TZI0e,Madison Beer,9,0.705,0.707,0,1,0.0799,0,117.974,0.452,0.0534,-5.174,chill
