,url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,ID
0,http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,1,Poor Little Fool,Ricky Nelson,Poor Little FoolRicky Nelson,1,,1,1,spotify:track:5ayybTSXNwcarDtxQKqvWX
1,http://www.billboard.com/charts/hot-100/1995-12-02,12/2/1995,1,One Sweet Day,Mariah Carey & Boyz II Men,One Sweet DayMariah Carey & Boyz II Men,1,,1,1,spotify:track:7ySbfLwdCwl1EM0zNCJZ38
3,http://www.billboard.com/charts/hot-100/2006-07-01,7/1/2006,1,Do I Make You Proud,Taylor Hicks,Do I Make You ProudTaylor Hicks,1,,1,1,spotify:track:2jv9Ppwz9u3lqWfXV0q2sW
4,http://www.billboard.com/charts/hot-100/2009-10-24,10/24/2009,1,3,Britney Spears,3Britney Spears,1,,1,1,spotify:track:6pymOcrCnMuCWdgGVTvUgP
5,http://www.billboard.com/charts/hot-100/2011-02-26,2/26/2011,1,Born This Way,Lady Gaga,Born This WayLady Gaga,1,,1,1,spotify:track:2nIVNBfSR4cj58MMG97cuV
6,http://www.billboard.com/charts/hot-100/2012-03-03,3/3/2012,1,Part Of Me,Katy Perry,Part Of MeKaty Perry,1,,1,1,spotify:track:1nZzRJbFvCEct3uzu04ZoL
7,http://www.billboard.com/charts/hot-100/2014-09-06,9/6/2014,1,Shake It Off,Taylor Swift,Shake It OffTaylor Swift,1,,1,1,spotify:track:5xTtaWoae3wi06K5WfVUUH
8,http://www.billboard.com/charts/hot-100/2016-02-20,2/20/2016,1,Pillowtalk,Zayn,PillowtalkZayn,1,,1,1,spotify:track:0PDUDa38GO8lMxLCRc4lL1
10,http://www.billboard.com/charts/hot-100/2017-01-28,1/28/2017,1,Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran,1,,1,1,spotify:track:7qiZfU4dY1lWllzX7mPBI3
11,https://www.billboard.com/charts/hot-100/2018-11-17,11/17/2018,1,"Thank U, Next",Ariana Grande,"Thank U, NextAriana Grande",1,,1,1,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ
12,https://www.billboard.com/charts/hot-100/2019-02-02,2/2/2019,1,7 Rings,Ariana Grande,7 RingsAriana Grande,1,,1,1,spotify:track:6ocbgoVGwYJhOv1GgI9NsF
13,https://www.billboard.com/charts/hot-100/2019-03-16,3/16/2019,1,Sucker,Jonas Brothers,SuckerJonas Brothers,1,,1,1,spotify:track:22vgEDb5hykfaTwLuskFGD
15,http://www.billboard.com/charts/hot-100/1996-04-06,4/6/1996,2,Always Be My Baby,Mariah Carey,Always Be My BabyMariah Carey,1,,2,1,spotify:track:2aBxt229cbLDOvtL7Xbb9x
16,http://www.billboard.com/charts/hot-100/1996-05-11,5/11/1996,2,Tha Crossroads,Bone Thugs-N-Harmony,Tha CrossroadsBone Thugs-N-Harmony,1,,2,1,spotify:track:5KSJ9k1FYjFLnIRlJT2wF8
17,http://www.billboard.com/charts/hot-100/1997-09-27,9/27/1997,2,4 Seasons Of Loneliness,Boyz II Men,4 Seasons Of LonelinessBoyz II Men,1,,2,1,spotify:track:027tq4cWr0kRxLTfdxvM1L
18,http://www.billboard.com/charts/hot-100/2008-08-30,8/30/2008,2,Crush,David Archuleta,CrushDavid Archuleta,1,,2,1,spotify:track:4wCD0qOFNRu1Q6O3N6ycm4
19,http://www.billboard.com/charts/hot-100/2009-08-29,8/29/2009,2,Party In The U.S.A.,Miley Cyrus,Party In The U.S.A.Miley Cyrus,1,,2,1,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1
21,http://www.billboard.com/charts/hot-100/2012-04-14,4/14/2012,2,Boyfriend,Justin Bieber,BoyfriendJustin Bieber,1,,2,1,spotify:track:3UGIZ8qcrMTwzLbx6Kttqt
22,http://www.billboard.com/charts/hot-100/2013-08-10,8/10/2013,2,Best Song Ever,One Direction,Best Song EverOne Direction,1,,2,1,spotify:track:5T7ZFtCcOgkpjxcuaeZbw0
23,http://www.billboard.com/charts/hot-100/2015-11-14,11/14/2015,2,Sorry,Justin Bieber,SorryJustin Bieber,1,,2,1,spotify:track:09CtPGIpYB4BrO8qb1RGsF
27,https://www.billboard.com/charts/hot-100/2019-02-23,2/23/2019,2,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,"Break Up With Your Girlfriend, I'm BoredAriana Grande",1,,2,1,spotify:track:4kV4N9D1iKVxx1KLvtTpjS
28,https://www.billboard.com/charts/hot-100/2019-07-06,7/6/2019,2,Senorita,Shawn Mendes & Camila Cabello,SenoritaShawn Mendes & Camila Cabello,1,,2,1,spotify:track:0TK2YIli7K1leLovkQiNik
29,http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,3,Splish Splash,Bobby Darin,Splish SplashBobby Darin,1,,3,1,spotify:track:40fD7ct05FvQHLdQTgJelG
30,http://www.billboard.com/charts/hot-100/1998-10-03,10/3/1998,3,One Week,Barenaked Ladies,One WeekBarenaked Ladies,1,,3,1,spotify:track:29hBRadFZf9QTGRHZmxm65
31,http://www.billboard.com/charts/hot-100/2008-12-20,12/20/2008,3,Circus,Britney Spears,CircusBritney Spears,1,,3,1,spotify:track:7jk7gqyEonmVVYahZN5zhW
34,http://www.billboard.com/charts/hot-100/2013-09-14,9/14/2013,3,Berzerk,Eminem,BerzerkEminem,1,,3,1,spotify:track:6Xk7PnitV9jCRorWt2LiVZ
36,http://www.billboard.com/charts/hot-100/2004-04-03,4/3/2004,4,Solitaire,Clay Aiken,SolitaireClay Aiken,1,,4,1,spotify:track:4nl0AClM6HOOKwHJwLezEK
39,http://www.billboard.com/charts/hot-100/2017-04-29,4/29/2017,4,Sign Of The Times,Harry Styles,Sign Of The TimesHarry Styles,1,,4,1,spotify:track:5Ohxk2dO5COHF1krpoPigN
40,http://www.billboard.com/charts/hot-100/2017-05-06,5/6/2017,4,DNA.,Kendrick Lamar,DNA.Kendrick Lamar,1,,4,1,spotify:track:6HZILIRieu8S0iqY8kIKhj
41,http://www.billboard.com/charts/hot-100/2017-09-23,9/23/2017,4,...Ready For It?,Taylor Swift,...Ready For It?Taylor Swift,1,,4,1,spotify:track:2yLa0QULdQr0qAIvVwN6B5
42,https://www.billboard.com/charts/hot-100/2018-04-14,4/14/2018,4,Call Out My Name,The Weeknd,Call Out My NameThe Weeknd,1,,4,1,spotify:track:09mEdoA6zrmBPgTEN5qXmN
43,https://www.billboard.com/charts/hot-100/2018-08-18,8/18/2018,4,Sicko Mode,Travis Scott,Sicko ModeTravis Scott,1,,4,1,spotify:track:2xLMifQCjDGFmkHkpNLD9h
44,https://www.billboard.com/charts/hot-100/2019-10-19,10/19/2019,4,"10,000 Hours",Dan + Shay & Justin Bieber,"10,000 HoursDan + Shay & Justin Bieber",1,,4,1,spotify:track:2wrJq5XKLnmhRXHIAf9xBa
46,http://www.billboard.com/charts/hot-100/1995-06-24,6/24/1995,5,One More Chance/Stay With Me,The Notorious B.I.G.,One More Chance/Stay With MeThe Notorious B.I.G.,1,,5,1,spotify:track:7fXhkARAtS66kxexMIAx8O
47,http://www.billboard.com/charts/hot-100/1997-05-24,5/24/1997,5,Say You'll Be There,Spice Girls,Say You'll Be ThereSpice Girls,1,,5,1,spotify:track:1yTQ39my3MoNROlFw3RDNy
48,http://www.billboard.com/charts/hot-100/1998-07-11,7/11/1998,5,Ray Of Light,Madonna,Ray Of LightMadonna,1,,5,1,spotify:track:4Fpsa3pYc3gozrxHRRPvR6
49,http://www.billboard.com/charts/hot-100/2008-07-12,7/12/2008,5,Burnin' Up,Jonas Brothers,Burnin' UpJonas Brothers,1,,5,1,spotify:track:2VEsmoek0sol9MnJFyoG9e
52,http://www.billboard.com/charts/hot-100/2016-10-29,10/29/2016,5,24K Magic,Bruno Mars,24K MagicBruno Mars,1,,5,1,spotify:track:6b8Be6ljOzmkOmFslEb23P
