,Unnamed: 0,url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,ID,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence
0,0,http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,1,Poor Little Fool,Ricky Nelson,Poor Little FoolRicky Nelson,1,,1,1,spotify:track:5ayybTSXNwcarDtxQKqvWX,0.474,0.338,0,1,0.648,0.0,154.596,0.81
1,1,http://www.billboard.com/charts/hot-100/1995-12-02,12/2/1995,1,One Sweet Day,Mariah Carey & Boyz II Men,One Sweet DayMariah Carey & Boyz II Men,1,,1,1,spotify:track:7ySbfLwdCwl1EM0zNCJZ38,0.569,0.495,1,1,0.353,0.0,128.228,0.302
2,3,http://www.billboard.com/charts/hot-100/2006-07-01,7/1/2006,1,Do I Make You Proud,Taylor Hicks,Do I Make You ProudTaylor Hicks,1,,1,1,spotify:track:2jv9Ppwz9u3lqWfXV0q2sW,0.463,0.524,1,1,0.026,0.0,144.055,0.308
3,4,http://www.billboard.com/charts/hot-100/2009-10-24,10/24/2009,1,3,Britney Spears,3Britney Spears,1,,1,1,spotify:track:6pymOcrCnMuCWdgGVTvUgP,0.697,0.709,5,0,0.0452,0.0,134.91,0.787
4,5,http://www.billboard.com/charts/hot-100/2011-02-26,2/26/2011,1,Born This Way,Lady Gaga,Born This WayLady Gaga,1,,1,1,spotify:track:2nIVNBfSR4cj58MMG97cuV,0.589,0.794,11,1,0.0032,0.0,123.894,0.528
5,6,http://www.billboard.com/charts/hot-100/2012-03-03,3/3/2012,1,Part Of Me,Katy Perry,Part Of MeKaty Perry,1,,1,1,spotify:track:1nZzRJbFvCEct3uzu04ZoL,0.678,0.918,5,1,0.000417,0.0,130.028,0.769
6,7,http://www.billboard.com/charts/hot-100/2014-09-06,9/6/2014,1,Shake It Off,Taylor Swift,Shake It OffTaylor Swift,1,,1,1,spotify:track:5xTtaWoae3wi06K5WfVUUH,0.648,0.785,7,1,0.0561,0.0,160.02,0.943
7,8,http://www.billboard.com/charts/hot-100/2016-02-20,2/20/2016,1,Pillowtalk,Zayn,PillowtalkZayn,1,,1,1,spotify:track:0PDUDa38GO8lMxLCRc4lL1,0.584,0.7,11,1,0.117,0.0,124.944,0.438
8,10,http://www.billboard.com/charts/hot-100/2017-01-28,1/28/2017,1,Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran,1,,1,1,spotify:track:7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,1,0,0.581,0.0,95.977,0.931
9,11,https://www.billboard.com/charts/hot-100/2018-11-17,11/17/2018,1,"Thank U, Next",Ariana Grande,"Thank U, NextAriana Grande",1,,1,1,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,0.717,0.653,1,1,0.229,0.0,106.966,0.412
10,12,https://www.billboard.com/charts/hot-100/2019-02-02,2/2/2019,1,7 Rings,Ariana Grande,7 RingsAriana Grande,1,,1,1,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,1,0,0.592,0.0,140.048,0.327
11,13,https://www.billboard.com/charts/hot-100/2019-03-16,3/16/2019,1,Sucker,Jonas Brothers,SuckerJonas Brothers,1,,1,1,spotify:track:22vgEDb5hykfaTwLuskFGD,0.842,0.734,1,0,0.0427,0.0,137.958,0.952
12,15,http://www.billboard.com/charts/hot-100/1996-04-06,4/6/1996,2,Always Be My Baby,Mariah Carey,Always Be My BabyMariah Carey,1,,2,1,spotify:track:2aBxt229cbLDOvtL7Xbb9x,0.649,0.531,4,1,0.457,0.0,78.946,0.488
13,16,http://www.billboard.com/charts/hot-100/1996-05-11,5/11/1996,2,Tha Crossroads,Bone Thugs-N-Harmony,Tha CrossroadsBone Thugs-N-Harmony,1,,2,1,spotify:track:5KSJ9k1FYjFLnIRlJT2wF8,0.679,0.509,4,1,0.0856,0.0,144.29,0.534
14,17,http://www.billboard.com/charts/hot-100/1997-09-27,9/27/1997,2,4 Seasons Of Loneliness,Boyz II Men,4 Seasons Of LonelinessBoyz II Men,1,,2,1,spotify:track:027tq4cWr0kRxLTfdxvM1L,0.583,0.488,6,1,0.821,1.71e-05,98.497,0.191
15,18,http://www.billboard.com/charts/hot-100/2008-08-30,8/30/2008,2,Crush,David Archuleta,CrushDavid Archuleta,1,,2,1,spotify:track:4wCD0qOFNRu1Q6O3N6ycm4,0.57,0.664,0,0,0.00836,1.2e-05,162.084,0.487
16,19,http://www.billboard.com/charts/hot-100/2009-08-29,8/29/2009,2,Party In The U.S.A.,Miley Cyrus,Party In The U.S.A.Miley Cyrus,1,,2,1,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,0.652,0.698,10,0,0.00112,0.000115,96.021,0.47
17,21,http://www.billboard.com/charts/hot-100/2012-04-14,4/14/2012,2,Boyfriend,Justin Bieber,BoyfriendJustin Bieber,1,,2,1,spotify:track:3UGIZ8qcrMTwzLbx6Kttqt,0.717,0.55,10,0,0.0358,0.00196,96.976,0.332
18,22,http://www.billboard.com/charts/hot-100/2013-08-10,8/10/2013,2,Best Song Ever,One Direction,Best Song EverOne Direction,1,,2,1,spotify:track:5T7ZFtCcOgkpjxcuaeZbw0,0.652,0.877,1,1,0.0227,0.0,118.491,0.486
19,23,http://www.billboard.com/charts/hot-100/2015-11-14,11/14/2015,2,Sorry,Justin Bieber,SorryJustin Bieber,1,,2,1,spotify:track:09CtPGIpYB4BrO8qb1RGsF,0.654,0.76,0,0,0.0797,0.0,99.945,0.41
20,27,https://www.billboard.com/charts/hot-100/2019-02-23,2/23/2019,2,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,"Break Up With Your Girlfriend, I'm BoredAriana Grande",1,,2,1,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,0.726,0.554,5,0,0.0421,0.0,169.999,0.335
21,28,https://www.billboard.com/charts/hot-100/2019-07-06,7/6/2019,2,Senorita,Shawn Mendes & Camila Cabello,SenoritaShawn Mendes & Camila Cabello,1,,2,1,spotify:track:0TK2YIli7K1leLovkQiNik,0.759,0.54,9,0,0.037,0.0,116.947,0.75
22,29,http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,3,Splish Splash,Bobby Darin,Splish SplashBobby Darin,1,,3,1,spotify:track:40fD7ct05FvQHLdQTgJelG,0.645,0.943,0,1,0.385,0.0,147.768,0.965
23,30,http://www.billboard.com/charts/hot-100/1998-10-03,10/3/1998,3,One Week,Barenaked Ladies,One WeekBarenaked Ladies,1,,3,1,spotify:track:29hBRadFZf9QTGRHZmxm65,0.702,0.898,9,1,0.00854,0.000154,112.845,0.731
24,31,http://www.billboard.com/charts/hot-100/2008-12-20,12/20/2008,3,Circus,Britney Spears,CircusBritney Spears,1,,3,1,spotify:track:7jk7gqyEonmVVYahZN5zhW,0.791,0.733,6,0,0.147,0.000381,114.98,0.761
25,34,http://www.billboard.com/charts/hot-100/2013-09-14,9/14/2013,3,Berzerk,Eminem,BerzerkEminem,1,,3,1,spotify:track:6Xk7PnitV9jCRorWt2LiVZ,0.739,0.872,11,0,0.0217,0.0,95.084,0.684
26,36,http://www.billboard.com/charts/hot-100/2004-04-03,4/3/2004,4,Solitaire,Clay Aiken,SolitaireClay Aiken,1,,4,1,spotify:track:4nl0AClM6HOOKwHJwLezEK,0.267,0.619,9,1,0.324,1.17e-06,146.1,0.185
