,musicId,fileName,title,artist,album,duration,chorus_start_time,chorus_end_time,lyrics
0,1,1.mp3,Good Drank,2 Chainz,"Def Jam Presents: Direct Deposit, Vol. 2",32.1,2:35,3:05,"byTrap_Girl
      Uhh yeah alright
      I did it hahah yeah
      Used to treat my mattress like the ATM yeah
      Bond number   thats my favorite scent yeah
      Cant forget the kush Im talking OG yeah
      Rest in peace to pop he was an OG oh yeah
          I had that pack on me uh
      I cannot forget I had that strap on me yeah
      Rest in peace to my nigga Doe Doe TRU
      All we ever want to do is ball
      That was the easy part
      We playing that Weezy hard
      We sit in the kitchen late
      We tryna to make an escape
      Trying to make me a mil
      So Ima keep me a plate
      I told em shawty can leave
      So Imma keep me a rake
      So Ima keep me a Wraith
      My jewelry look like a lake
      Today Im in the Maybach
      And that car came with some drapes
      You know I look like a safe
      I put you back in your place
      I look you right in your face
      Sing to your bitch like Im Drake
      Yeah
      Good drank big knots
      Good drugs I put a four on the rocks lean
      Drop top no hot box
         tried to pull me over pink slips to the cops
      She said the molly give her thizz face
      Put the dick in her rib cage
      Whips out Kunta Kinte
      Diamonds clear like Bombay
      Take your babies no Harambe
      Play with keys like Doc Dre
       K like André
      And your girl call her cum face
      Its Gucci Huh brr huh
      Your trunk in the front
      Well check this out my top in the trunk
      You play with my money
      Then check this out youre poppin the trunk
      Three mil in a month
      But I just did three years on a bunk
      Oh you in a slump
      Im headed to Oakland like Kevin Da Runt
      What is your point
      Square with the stamp  Kevin Durant
      Lay on on my trap
      Play with my cap and Ill knock off your hat
      Im taking the cheese and killing the rats
      Gucci Mane call me the cat with the racks
      Im swervin but Im in back of the Bach
      Im Persian man I got hoes from Iraq
      Im servin I pay a bird for that
      He nervous aint got no words for that
      He hurt and want all of his purses back
      He mixing the syrup with the Percocets
      She perfect and she got perky breasts
      I just want some of that turkey neck
      Trapper of the year Im from Bouldercrest
      You snitch of the year cause you told the bis
      Good drank big knots
      Good drugs I put a four on the rocks lean
      Drop top no hot box
         tried to pull me over pink slips to the cops
      She said the molly give her thizz face
      Put the dick in her rib cage
      Whips out Kunta Kinte
      Diamonds clear like Bombay
      Take your babies no Harambe
      Play with keys like Doc Dre
       K like Andre
      And your girl call her cum face
      Aye Mike Dean
      This shit hard as  bruh
      You a living legend I appreciate that
      Aye Guwop Im glad you home cuz
      Quavo you already know man
      You got next on these niggas double salute man
      True shit   Chainz
      Hair Weave Killer
      Daniel Son the Necklace Don
      Chapo Jr
      I mean I can go on for days"
1,4,4.mp3,X Bitch (feat. Future),21 Savage,Savage Mode,28.09,3:00,3:26,
2,5,5.mp3,No Heart,21 Savage,Savage Mode,84.23,0:41,2:03,"byismellyouonmyskin
      Hook
      Young Savage why you trappin so hard
      Why these niggas cappin so hard
      Why you got a    car garage
      Why you pullin all these rappers cards
      Cause these niggas pussy and Im hard
      I turn that ing soft into some hard
      I grew up in the streets without no heart
      Im praying to my Glock and my card
      Verse  
      I sit back and read like Cat in the Hat
         Savage the cat with the MAC
         Savage not Boyz N The Hood but I pull up on you shoot your ass in the back
      Stuart Little heard these niggas some rats
      Pockets full of cheese bitch I got racks
      Im a real street nigga bitch
      I am not one of these niggas bangin on wax
      Pussy niggas love sneak dissing til I pull up on em slap em out with the fire
      Wet your mamas house wet your grandmas house keep shootin until somebody die
      So many shots the neighbor looked at the calendar thought it was Fourth of July
      You was with your friends playing Nintendo I was playin round with that fire
      Seventh grade I got caught with a pistol sent me to Pantherville
      Eighth grade started playin football then I was like  the field
      Ninth grade I was knocking niggas out nigga like Holyfield
      Fast forward nigga      and Im screaming  a deal
      Bad bitch with me she so thick I dont even need a pill
      I listen to your raps thought you was hard
      You aint even street for real
      Niggas love sneak dissing on twitter
      They dont want beef for real
      And all these niggas play like they tough
      till a nigga get killed
      till a nigga get spilled til your blood get spilled
      Ima at your favorite rapper shoot him like Im John Dill
      I been with you since day one Savage I aint even hating
      So whats up with all that instagram shit
      Savage I was just playin
      Yall pussy niggas fakin bitch I hang around them Haitians
      Pull up on you tie your kids up
      Pistol whip you while your bitch naked
      Come on man Savage you know I always play your mixtape
      Yeah nigga  all that ask your bitch how my dick tastes
      Hook
      Young Savage why you trappin so hard
      Why these niggas cappin so hard
      Why you got a    car garage
      Why you pullin all these rappers cards
      Cause these niggas pussy and Im hard
      I turn that ing soft into some hard
      I grew up in the streets without no heart
      Im praying to my Glock and my card
      Verse  
      So much dope that it broke the scale
      They say crack kills nigga my crack sells
      My brother in the kitchen and he rappin a bale
      Louis V my bag and Louis V on my belt
      Chain swangin diamonds blangin hold up
      Pistol swangin gang bangin hold up
      Niggas actin like groupies they dont know us
      Little do they know their bitches in on the tour bus
      Hook
      Young Savage why you trappin so hard
      Why these niggas cappin so hard
      Why you got a    car garage
      Why you pullin all these rappers cards
      Cause these niggas pussy and Im hard
      I turn that ing soft into some hard
      I grew up in the streets without no heart
      I grew up in the streets without no heart
      Outro
      So much dope that it broke the scale
      They say crack kills nigga my crack sells
      My brother in the kitchen and he rappin a bale
      Louis V my bag and Louis V on my belt"
3,6,6.mp3,Red Opps,21 Savage,Red Opps,29.53,2:16,2:44,"byOctobersVeryOwn
      Yeah Yeah Yeah
      I pull up roll the window down and
      pop pop pop pop pop
      I pull up roll the window down and
      pop pop pop pop pop
      I pull up roll the window down and
      pew pew pew
      I just bought a pistol it got    rounds in it
      Pull up at yo momma house and put some rounds in it
      Wet a  block and watch them s drown in it
      Hunnid round drum gun a  down with it
      Im on that Slaughter Gang t Murder Gang t
      Slaughter Gang t Murder Gang t
      Im on that Slaughter Gang t Murder Gang t
      Slaughter Gang t Murder Gang t
      Im on that Slaughter Gang t
      Take a  
       yous a  cuz I ran off with ya t
      Im a real right blood and these s counterfeit
      You dont pull up on the Ave  boy you get dipped
      I bought a brand new drop and then I poured me up some drop
      Young Savage real street  yall aint on no block
       keep your legs closed cuz all I want is top
      I pull up and pew pew pew yall gone call the cops
        
      I just bought a pistol it got    rounds in it
      Pull up at yo momma house and put some rounds in it
      Wet a  block and watch them s drown in it
      Hunnid round drum gun a  down with it
      Im on that Slaughter Gang t Murder Gang t
      Slaughter Gang t Murder Gang t
      Im on that Slaughter Gang t Murder Gang t
      Slaughter Gang t Murder Gang t
      Two guns up
      I dont give a 
      Im a big dog lil  you a pup
      Pull up on ya spot walk up on it shoot it up
      Yo  she on the molly yeah I got her booted up
      You said you was trappin but I heard thats a lie
      Baking soda cold water cut the stove on scrape the side
      You can keep the skinny  cuz I like a fat ass and thighs
       Im young savage yo baby daddy know not to try
      I just bought a pistol it got    rounds in it
      Pull up at yo momma house and put some rounds in it
      Wet a  block and watch them s drown in it
      Hunnid round drum gun a  down with it
      Im on that Slaughter Gang t Murder Gang t
      Slaughter Gang t Murder Gang t
      Im on that Slaughter Gang t Murder Gang t
      Slaughter Gang t Murder Gang t
      Slaughter Gang t Murder Gang t
      Slaughter Gang t Murder Gang t
      Slaughter Gang t Murder Gang t"
4,7,7.mp3,Girls Talk Boys,5 Seconds Of Summer,Ghostbusters (Original Motion Picture Soundtrack),29.11,2:30,2:57,"

Intro All
When the girls when the girls talk
When the girls talk boys
Oh when the girls when the girls talk
When the girls talk boys hey

Verse   Luke Michael Calum  Ashton
When youre talking to your girls
Do you talk about me
Do you say that Im a sweetheart
Do you say that Im a freak
Do you tell them white lies
Do you tell em the truth
Do you tell em that you love me
The way I been lovin you

PreChorus All
Cause every night you and I find ourselves
Kissing and touching like no one else
Falling and falling until I fell
For you

Chorus Luke Ashton  All
Cause I been talking to my friends
The way you take away my breath
Its something bigger than myself
Its something I dont understand no no
I know were young and people change
And we may never feel the same
So baby tell me what you say
When the girls when the girls talk
When the girls talk boys
I can hear em talking
Oh when the girls
When the girls
When the girls talk
When the girls talk boys hey

Verse   Calum Luke Ashton  Michael
When youre talking to your girls
Do you talk about me
Do you tell Im your lover
That Im all that you need
Do you tell em white lies
Do you tell em the truth
Do you tell em that you love me
The way that Ive been loving you

PreChorus All
Cause every night you and I find ourselves
Kissing and touching like no one else
Falling and falling until I fell
For you

Chorus Luke Ashton  All
Cause I been talking to my friends
The way you take away my breath
Its something bigger than myself
Its something I dont understand no no
I know were young and people change
And we may never feel the same
So baby tell me what you say
When the girls when the girls talk
When the girls talk boys
I can hear em talking
Oh when the girls when the girls talk
When the girls talk boys
When the girls talk boys
Talk talk talk talk
Talk talk talk talk
When the girls talk boys
Talk talk talk talk when the girls
Talk talk talk talk hey

"
5,8,8.mp3,PRBLMS,6LACK,FREE 6LACK,40.14,2:10,2:48,"

Intro
Yeah yeah
Yeah yeah
Yeah yeah
Alright

Verse  
And she said You a goddamn lie
I aint mean to say that shit girl I was goddamn high
So we left the crib now we in the goddamn ride
She lookin goddamn fine
I wanted a bitch who was down to Earth
But she want the goddamn sky uh
List of my problems
Got this one on my line that wont stop fucking callin
Its crazy I made her that way
Every time I see her out I see the hate in her face
Like why you do that
Tell her you love her when next week you just want your space
Why you do why you do that
Tell her you want her but next week you do your own thing
Why you do why you do that
I cant explain it but just know it working for me
She text me I hate you I hate you I hate you I hate you
But how the fuck can you hate me
When I aint did shit but be the real thang
She know Im the real thatll never change
I never been the one to try to explain
While you catch them feels Ima sip on this drank its easing my brain

Chorus
I got real shit to stress about girl I aint worried bout shit
Bout shit
Remember that I tried to build ya now I aint worried bout shit
I got real shit to stress about girl I aint worried bout shit
Bout shit
Remember that I tried to build ya now I aint worried bout shit
So I found me a new thang Im not as lost as you think
Got plenty queens in my hometown all they need is drank and that dank
So I found me a new thang Im not as lost as you think
Got plenty queens in my hometown all they need is drank and that dank

Verse  
Now Im like
Its a goddamn shame
We done crashed we done burned
But baby you the goddamn blame
See I wanted love but you wanted goddamn fame
Every goddamn thang
I wanted a bitch who was on the move
But you want to goddamn lay
Uh list of my problems
Got this one in my bed and she just wants to sleep
Fucking up all of the sheets
She only wake up to eat
Do this shit every week
Like why you do that
Crying you want to be great but sleepin until the next day
Why you do that
Dont got that much in the bank we go out she order the steak
Why you do why you do that
She cant explain it but just know it working for her
She claiming she down on her luck but really she dont give a fuck
And I cannot make this shit up
And I aint did shit but be the real thang
She know Im the real thatll never change
I wont be the one to try to explain
While you catch them feels Ima sip on this drank its easing the pain

Chorus
I got real shit to stress about girl I aint worried bout shit
Bout shit
Remember that I tried to build ya now I aint worried bout shit
I got real shit to stress about girl I aint worried bout shit
Bout shit
Remember that I tried to build ya now I aint worried bout shit
So I found me a new thang Im not as lost as you think
Got plenty queens in my hometown all they need is drank and that dank
So I found me a new thang Im not as lost as you think
Got plenty queens in my hometown all they need is drank and that dank

"
6,9,9.mp3,Timeless,A Boogie Wit Da Hoodie,TBA,23.09,1:57,2:18,"byi lll
Created in LyricsEditor
Available on Mac App Store
       Bitch Im really timeless
       I cannot waste no time bitch Im really timeless
       I cannot leave my houses without diamonds
       All the faces on my watches jump out it
       Change faces on the watches now they frownin
       I probably spent the     thousand on fly shit
       QP spent the     thousand on mileage
       Bruce Lee kick it with me I be stylin
         seater Bentley and its topless
       And shes topless naked bitch driver
       Papers and Fronto wrapped around Sour
       I cannot waste no time bitch Im really timeless
       I cannot waste no time bitch Im really
       I cannot waste no time bitch Im really grindin
       If I ever said I love you I was lyin
       I  with you but you was always like a side bitch
       Cause I can never put nothin over grindin
       I just left my baby girl a message
       I said I wont be comin home
       Hah thats a dub bitch Im on the road
       Hah and I need    thousand for a show
       Hah I aint walkin through your club no more
       Hah But if Lust hit me up Ill go
       Hah SpinKing thats the in bro
       Hah I  it up I  it up some more
       We switch the flow up if you a busta Ima cut you off
       Bitch Im goin up
       Gettin money what the  you thought
       Nigga hold up it get ugly
       Im a in boss hah
       Good now but I started off
       Just a young nigga runnin round and the butter soft
       Try to run down on me nigga you should knock it off
       I aint get lucky mothaa
       Took a couple loses yeah
       What u sayin You aint really on shit
       Got zippers on my jeans like Im Billy on this
       I aint sippin no more lean Ive been trippin off it
       Ive been pissin codeine and I aint wit the shits woah
       Rockstar lifestyle might not make it
       Wake up faded still end up drinking
       Makeup on my tshirt I hate it
       RIP tshirts I hate it
       Fall asleep wake up still Im faded
       Bubba prolly lost    K in vegas
       Pour up purple and then make it turn pinkish
       Said that I was done with it but Im still drinkin
       I cant waste no time I cant waste no time with it
       I cant waste no time bitch Im really timeless
       I cant waste no time bitch Im really timeless"
7,10,10.mp3,Drowning,A Boogie Wit Da Hoodie,Drowning,32.1,2:43,3:13,"by小陀螺Tony
       Im drownin
       Im drownin
       Im drownin
       Im drownin
       Wrist so icy wonder why she like me bitch Im drownin
       In water I just bought a Cuban dipped it in a fountain
       Every where that I go its a light show Im surrounded
       Bust down bust down bust down bust down bust down
       Bitch Im drownin
       I just bought a Cuban ring and dipped it in a fountain
       Chain so heavy I feel like Im holdin up a mountain
       Everywhere that I go its a light show Im surrounded
       Bust down bust down bust down bust down bust down
       Bitch Im drownin
       
       Im with all my niggas I dont go nowhere without em
       If they dont let us in they might throw shots at the bouncer
       Actavis medicine got it straight from out the doctors
       Im with RJ but I call him Wayne cause hes a shotta
       Pick up the ladder put it in the gun make the   stretch
       Niggas with attitude but we come straight out of Highbridge
       Im gon make her panties wet when she see the way I flex
       Im gon win a Grammy move my family out the projects
       We went from chillin in the projects to makin projects
       We was tryna get to the top and they tried to stop us
       I talk for myself bitch I dont need no ing voucher
       She looked at my wrist and she looked at a hundred thousand
       
       Wrist so icy wonder why she like me bitch Im drownin
       In water I just bought a Cuban dipped it in a fountain
       Every where that I go its a light show Im surrounded
       Bust down bust down bust down bust down bust down
       Bitch Im drownin
       I just bought a Cuban ring and dipped it in a fountain
       Chain so heavy I feel like Im holdin up a mountain
       Everywhere that I go its a light show Im surrounded
       Bust down bust down bust down bust down bust down
       Bitch Im drownin
       
       Just bought a brand new chain from Avianne
       Nigga with attitude but I aint from Compton
       Lil Kodak bitch Im Polod down like Carlton
       Sniper Gang I put a nigga on a carton
       Im the shit Im fartin I dont know how to potty
       Pull up in a Rari Im in the Yo like Gotti
       A Boogie Im goin Scottie nigga drop my deposit
       I aint Jamaican bitch Im Haitian but I got them shottas
       Harley Davidson every day Im ridin with the chopper
       They hatin I know they dont wanna see a nigga prosper
       I aint doing trims Im in the cut like Im a barber
       She call me daddy but I aint her mothering father
       
       Wrist so icy wonder why she like me bitch Im drownin
       In water I just bought a Cuban dipped it in a fountain
       Every where that I go its a light show Im surrounded
       Bust down bust down bust down bust down bust down
       Bitch Im drownin
       I just bought a Cuban ring and dipped it in a fountain
       Chain so heavy I feel like Im holdin up a mountain
       Everywhere that I go its a light show Im surrounded
       Bust down bust down bust down bust down bust down
       Bitch Im drownin
       Bitch Im drownin
       Bitch Im drownin
       Im drownin
       Drownin
       Im drownin"
8,11,11.mp3,My Shit,A Boogie Wit Da Hoodie,My Shit,15.08,1:37,1:50,"

Intro
In my bag now In my bag now Bag now
What the fuck is that sound That sound
What the fuck is that sound That sound

Verse  
Brought the MAC out niggas sat down
I got shit I never had now I could brag now
Got my bitch a Louis bag now she could brag now
Bought my bitch a Birkin bag now she a brat now
Now Im sittin in the club in a different bag now
Baby when I pick it up you gon put that ass down
Tell em you dont give a fuck baby spin that ass round
Tell the DJ turn it up what the fuck is that sound
A Boogie Wit Da Hoodie and its always foreign
Yeah I know she like my style them other niggas borin
When I pull up it go skrrt skrrt thats a foreign
When I pull up on a red light they dont want it
Yeah I came up from the mud and my baby know that
Introduced her to my plug now she think she all that
When I first hit her up no she never wrote back
Then I saw her at the club so I got up on that

Chorus
Now every time they play this song she say This is my shit This is my shit
See the flick of my wrist Flick of my wrist
And I know she know wassup baby this is my shit This is my shit
See the flick of my wrist Flick of my wrist

Verse  
They know thats my bitch thats a fact and she stuck with me
When you in my section fill it up when my cup empty
I cant fuck with rats thats a fact thats a dub nigga
All about my F cant put water over blood nigga
Trust me it get ugly
If I wasnt gettin money would you still want me
If I told you I was broke would you start actin funny
This is all I ever wanted you cant take it from me

Chorus
Now every time they play this song she say This is my shit This is my shit
See the flick of my wrist Flick of my wrist
And I know she know wassup baby this is my shit This is my shit
See the flick of my wrist Flick of my wrist

"
9,12,12.mp3,We The People....,A Tribe Called Quest,We got it from Here... Thank You 4 Your service,27.1,2:27,2:52,"byismellYouOnmyskin
       QTip 
      We dont believe you cause we the people
      Ill still be in the rear yo we dont need you
      You aint a killer nor good young nigga move
      When we get hungry we eat the same ing food
      The ramen noodle
      Your simple voodoo is so maniacal
      Reliable to pull a juju
      The irony is that this bad bitch in my lap
      She dont love me she make bunnies she gon study that
      She gon give it to me aint gon tell me run it back
      She gon take the brain or weather plain she spit on that
      The doors are signed with dont try to rhyme with
      VH  has a show that you could waste your time with
      Guilty pleasures take the edge off reality
      And for a salary Id probably do that shit sporadically
      The OG Gucci wasnt spittin with iguanas
      The IRS piranha see a nigga gettin commas
      Niggas in the hood living in a fishbowl
      Gentrify here now its not a shit hole
      Trendsetter I know my shits cold
      I aint said it yet because I aint so bold hey yo
       QTip 
      All you Black folks you must go
      All you Mexicans you must go
      And all you poor folks you must go
      Muslims and gays
      Boy we hate your ways
      So all you bad folks you must go
       Phife Dawg 
      The fog in the smog of new media that logs
      False narratives of guys that came up against the odds
      We not just nigga rappers with the bars
      Its kids with that be cosmic with the stars
      You bastards overlooking street art
      Better yet street smarts
      But you keep us off the charts
      So mother your numbers and your statisticians
       you know about true competition
      Just like the  picture that talking about he hittin
      The only ones whos hitting are the ones that currently spittin
      We got your missie smitten rubbing on a little kitten
      Dreaming of a world thats equal for women with no division
      Boy I tell you thats vision
      Like Tony Romo when he hitting Witten
      To try and be the best in they division
      Shaheed Muhammad cut it with precision
      Who can come back years later still hit the shot
      Still yall tryna move me off the ing block
      Babylon bloodclot two pon yo 
       QTip 
      All you Black folks you must go
      All you Mexicans you must go
      And all you poor folks you must go
      Muslims and gays
      Boy we hate your ways
      So all you bad folks you must go"
