,1,valence,arousal
0,😂,82.65384615384616,81.03846153846153
1,😒,23.96153846153846,31.846153846153847
2,😩,22.153846153846153,37.84615384615385
3,😭,24.615384615384617,51.65384615384615
4,😍,86.26923076923077,81.53846153846153
5,😞,21.346153846153847,21.615384615384617
6,👌,67.28,58.25
7,😊,81.6923076923077,67.64
8,❤,82.88461538461539,70.07692307692308
9,😏,58.04,56.44
10,😁,81.6923076923077,77.92307692307692
11,🎶,58.625,57.958333333333336
12,😳,40.88461538461539,60.03846153846154
13,💯,65.34615384615384,77.34615384615384
14,😴,42.19230769230769,19.76923076923077
15,😌,52.23076923076923,38.84615384615385
16,-,77.8076923076923,61.69230769230769
17,🙌,63.80769230769231,66.0
18,💕,77.96153846153847,69.64
19,😑,38.46153846153846,42.92307692307692
20,😅,66.57692307692308,62.57692307692308
21,🙏,59.11538461538461,63.75
22,😕,31.576923076923077,37.24
23,😘,68.6923076923077,71.11538461538461
24,♥,65.5,63.57692307692308
25,😐,42.73076923076923,46.07692307692308
26,💁,53.65384615384615,54.64
27,😞,26.26923076923077,29.12
28,🙈,55.80769230769231,54.96153846153846
29,😫,22.692307692307693,61.34615384615385
30,✌,63.03846153846154,56.08
31,😎,75.0,65.61538461538461
32,😡,18.76923076923077,69.73076923076923
33,👍,64.72,58.84615384615385
34,😢,19.53846153846154,35.57692307692308
35,😪,19.692307692307693,33.19230769230769
36,😋,78.41666666666667,70.91666666666667
37,😤,31.64,62.96153846153846
38,✋,51.166666666666664,57.84
39,😷,33.96153846153846,39.57692307692308
40,👏,68.53846153846153,67.6923076923077
41,👀,48.125,62.48
42,🔫,37.78260869565217,65.54166666666667
43,😣,24.96153846153846,49.46153846153846
44,😈,53.76923076923077,75.0
45,😓,26.0,33.65384615384615
46,💔,28.807692307692307,46.57692307692308
47,♡,58.30769230769231,52.19230769230769
48,🎵,61.96,62.07692307692308
49,🙊,51.64,58.57692307692308
50,😉,72.42307692307692,66.46153846153847
51,💀,39.88461538461539,44.76923076923077
52,😖,28.73076923076923,51.73076923076923
53,😁,82.8076923076923,81.07692307692308
54,😜,76.03846153846153,81.34615384615384
55,😠,24.884615384615383,57.61538461538461
56,🙅,40.92307692307692,54.2
57,💪,63.2,74.65384615384616
58,👊,52.68,68.84615384615384
59,💜,73.38461538461539,65.3076923076923
60,💖,76.76923076923077,70.11538461538461
61,💙,71.23076923076923,65.76923076923077
62,😬,39.73076923076923,55.48
63,✨,62.34615384615385,65.03846153846153
