Q3_1,Q3_2,Q5_1,Q5_2,Q7_1,Q7_2,Q9_1,Q9_2,Q11_1,Q11_2,Q13_1,Q13_2,Q15_1,Q15_2,Q17_1,Q17_2,Q19_1,Q19_2,Q21_1,Q21_2,Q23_1,Q23_2,Q25_1,Q25_2,Q27_1,Q27_2,Q29_1,Q29_2,Q31_1,Q31_2,Q33_1,Q33_2,Q35_1,Q35_2,Q37_1,Q37_2,Q39_1,Q39_2,Q41_1,Q41_2,Q43_1,Q43_2,Q45_1,Q45_2,Q47_1,Q47_2,Q49_1,Q49_2,Q51_1,Q51_2,Q53_1,Q53_2,Q55_1,Q55_2,Q57_1,Q57_2,Q59_1,Q59_2,Q61_1,Q61_2,Q63_1,Q63_2,Q65_1,Q65_2,Q67_1,Q67_2,Q69_1,Q69_2,Q71_1,Q71_2,Q75_1,Q75_2,Q77_1,Q77_2,Q79_1,Q79_2,Q81_1,Q81_2,Q83_1,Q83_2,Q85_1,Q85_2,Q87_1,Q87_2,Q89_1,Q89_2,Q91_1,Q91_2,Q93_1,Q93_2,Q95_1,Q95_2,Q97_1,Q97_2,Q99_1,Q99_2,Q101_1,Q101_2,Q103_1,Q103_2,Q105_1,Q105_2,Q107_1,Q107_2,Q109_1,Q109_2,Q111_1,Q111_2,Q113_1,Q113_2,Q115_1,Q115_2,Q117_1,Q117_2,Q119_1,Q119_2,Q121_1,Q121_2,Q123_1,Q123_2,Q125_1,Q125_2,Q127_1,Q127_2,Q129_1,Q129_2,Q131_1,Q131_2,Random ID
Rate the following emoji in terms of the emotion it conveys: 😂 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😂 - Energy,Rate the following emoji in terms of the emotion it conveys: 😒 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😒 - Energy,Rate the following emoji in terms of the emotion it conveys: 😩 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😩 - Energy,Rate the following emoji in terms of the emotion it conveys: 😭 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😭 - Energy,Rate the following emoji in terms of the emotion it conveys: 😍 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😍 - Energy,Rate the following emoji in terms of the emotion it conveys: 😞 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😞 - Energy,Rate the following emoji in terms of the emotion it conveys: 👌 - Happiness,Rate the following emoji in terms of the emotion it conveys: 👌 - Energy,Rate the following emoji in terms of the emotion it conveys:  😊 - Happiness,Rate the following emoji in terms of the emotion it conveys:  😊 - Energy,Rate the following emoji in terms of the emotion it conveys: ❤️ - Happiness,Rate the following emoji in terms of the emotion it conveys: ❤️ - Energy,Rate the following emoji in terms of the emotion it conveys: 😏 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😏 - Energy,Rate the following emoji in terms of the emotion it conveys: 😁 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😁 - Energy,Rate the following emoji in terms of the emotion it conveys: 🎶 - Happiness,Rate the following emoji in terms of the emotion it conveys: 🎶 - Energy,Rate the following emoji in terms of the emotion it conveys: 😳 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😳 - Energy,Rate the following emoji in terms of the emotion it conveys: 💯 - Happiness,Rate the following emoji in terms of the emotion it conveys: 💯 - Energy,Rate the following emoji in terms of the emotion it conveys: 😴 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😴 - Energy,Rate the following emoji in terms of the emotion it conveys: 😌 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😌 - Energy,Rate the following emoji in terms of the emotion it conveys: - Happiness,Rate the following emoji in terms of the emotion it conveys: - Energy,Rate the following emoji in terms of the emotion it conveys: 🙌🏽 - Happiness,Rate the following emoji in terms of the emotion it conveys: 🙌🏽 - Energy,Rate the following emoji in terms of the emotion it conveys: 💕 - Happiness,Rate the following emoji in terms of the emotion it conveys: 💕 - Energy,Rate the following emoji in terms of the emotion it conveys: 😑 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😑 - Energy,Rate the following emoji in terms of the emotion it conveys: 😅 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😅 - Energy,Rate the following emoji in terms of the emotion it conveys: 🙏🏽 - Happiness,Rate the following emoji in terms of the emotion it conveys: 🙏🏽 - Energy,Rate the following emoji in terms of the emotion it conveys: 😕 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😕 - Energy,Rate the following emoji in terms of the emotion it conveys: 😘 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😘 - Energy,Rate the following emoji in terms of the emotion it conveys: ♥ - Happiness,Rate the following emoji in terms of the emotion it conveys: ♥ - Energy,Rate the following emoji in terms of the emotion it conveys: 😐 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😐 - Energy,Rate the following emoji in terms of the emotion it conveys: 💁‍♀️ - Happiness,Rate the following emoji in terms of the emotion it conveys: 💁‍♀️ - Energy,Rate the following emoji in terms of the emotion it conveys: 😞 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😞 - Energy,Rate the following emoji in terms of the emotion it conveys: 🙈 - Happiness,Rate the following emoji in terms of the emotion it conveys: 🙈 - Energy,Rate the following emoji in terms of the emotion it conveys: 😫 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😫 - Energy,Rate the following emoji in terms of the emotion it conveys: ✌🏽 - Happiness,Rate the following emoji in terms of the emotion it conveys: ✌🏽 - Energy,Rate the following emoji in terms of the emotion it conveys: 😎 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😎 - Energy,Rate the following emoji in terms of the emotion it conveys: 😡 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😡 - Energy,Rate the following emoji in terms of the emotion it conveys: 👍🏽 - Happiness,Rate the following emoji in terms of the emotion it conveys: 👍🏽 - Energy,Rate the following emoji in terms of the emotion it conveys: 😢 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😢 - Energy,Rate the following emoji in terms of the emotion it conveys: 😪 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😪 - Energy,Rate the following emoji in terms of the emotion it conveys: 😋 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😋 - Energy,Rate the following emoji in terms of the emotion it conveys: 😤 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😤 - Energy,Rate the following emoji in terms of the emotion it conveys: ✋🏾 - Happiness,Rate the following emoji in terms of the emotion it conveys: ✋🏾 - Energy,Rate the following emoji in terms of the emotion it conveys: 😷 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😷 - Energy,Rate the following emoji in terms of the emotion it conveys: 👏🏽 - Happiness,Rate the following emoji in terms of the emotion it conveys: 👏🏽 - Energy,Rate the following emoji in terms of the emotion it conveys: 👀 - Happiness,Rate the following emoji in terms of the emotion it conveys: 👀 - Energy,Rate the following emoji in terms of the emotion it conveys: 🔫 - Happiness,Rate the following emoji in terms of the emotion it conveys: 🔫 - Energy,Rate the following emoji in terms of the emotion it conveys: 😣 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😣 - Energy,Rate the following emoji in terms of the emotion it conveys: 😈 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😈 - Energy,Rate the following emoji in terms of the emotion it conveys: 😓 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😓 - Energy,Rate the following emoji in terms of the emotion it conveys: 💔 - Happiness,Rate the following emoji in terms of the emotion it conveys: 💔 - Energy,Rate the following emoji in terms of the emotion it conveys: ♡ - Happiness,Rate the following emoji in terms of the emotion it conveys: ♡ - Energy,Rate the following emoji in terms of the emotion it conveys: 🎵 - Happiness,Rate the following emoji in terms of the emotion it conveys: 🎵 - Energy,Rate the following emoji in terms of the emotion it conveys: 🙊 - Happiness,Rate the following emoji in terms of the emotion it conveys: 🙊 - Energy,Rate the following emoji in terms of the emotion it conveys: 😉 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😉 - Energy,Rate the following emoji in terms of the emotion it conveys: 💀 - Happiness,Rate the following emoji in terms of the emotion it conveys: 💀 - Energy,Rate the following emoji in terms of the emotion it conveys: 😖 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😖 - Energy,Rate the following emoji in terms of the emotion it conveys: 😁 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😁 - Energy,Rate the following emoji in terms of the emotion it conveys: 😜 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😜 - Energy,Rate the following emoji in terms of the emotion it conveys: 😠 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😠 - Energy,Rate the following emoji in terms of the emotion it conveys: 🙅‍♀️ - Happiness,Rate the following emoji in terms of the emotion it conveys: 🙅‍♀️ - Energy,Rate the following emoji in terms of the emotion it conveys: 💪🏽 - Happiness,Rate the following emoji in terms of the emotion it conveys: 💪🏽 - Energy,Rate the following emoji in terms of the emotion it conveys: 👊🏽 - Happiness,Rate the following emoji in terms of the emotion it conveys: 👊🏽 - Energy,Rate the following emoji in terms of the emotion it conveys: 💜 - Happiness,Rate the following emoji in terms of the emotion it conveys: 💜 - Energy,Rate the following emoji in terms of the emotion it conveys: 💖 - Happiness,Rate the following emoji in terms of the emotion it conveys: 💖 - Energy,Rate the following emoji in terms of the emotion it conveys: 💙 - Happiness,Rate the following emoji in terms of the emotion it conveys: 💙 - Energy,Rate the following emoji in terms of the emotion it conveys: 😬 - Happiness,Rate the following emoji in terms of the emotion it conveys: 😬 - Energy,Rate the following emoji in terms of the emotion it conveys: ✨ - Happiness,Rate the following emoji in terms of the emotion it conveys: ✨ - Energy,Random ID
"{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID41_2""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID46_2""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID47_2""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID50_2""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_2""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID52_2""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID53_2""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID54_2""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID55_2""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID56_2""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID57_2""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID58_2""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID59_2""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID60_2""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID61_2""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID62_2""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID64_2""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID65_2""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID66_2""}","{""ImportId"":""Random ID""}"
89,86,34,40,37,73,22,71,84,77,17,19,53,51,86,,86,62,62,37,80,79,66,55,40,73,79,72,50,0,67,4,89,30,82,81,80,80,35,35,52,38,71,59,33,34,66,68,29,38,40,37,42,39,24,19,64,76,13,62,63,,77,56,5,59,67,66,19,26,13,23,75,58,69,78,27,,29,17,76,74,48,69,24,91,21,14,65,81,23,26,0,65,21,28,59,59,30,63,67,65,70,68,17,60,77,77,73,86,10,74,25,,81,78,62,71,83,33,90,65,73,30,19,,73,56,
92,100,37,24,10,39,0,29,76,65,6,0,62,61,88,64,70,50,75,58,100,100,80,78,44,68,59,72,46,0,66,48,75,65,79,69,72,52,16,14,73,64,70,78,42,24,69,59,76,77,37,23,59,45,33,21,88,76,0,77,74,50,89,44,16,75,72,45,7,37,32,21,89,69,36,61,,41,44,33,68,65,45,70,34,85,32,46,66,86,32,45,0,22,50,43,78,55,55,72,77,45,66,100,26,60,100,91,87,97,24,66,35,63,65,58,41,63,70,42,70,26,44,61,45,63,73,94,
90,85,40,20,65,58,40,50,86,69,10,21,78,85,100,72,82,65,60,51,100,81,80,93,50,75,67,78,40,0,80,50,80,60,71,86,78,78,20,10,40,50,70,80,10,15,63,58,60,50,40,50,30,70,5,10,60,80,50,90,66,71,76,64,10,90,40,10,14,38,6,34,92,70,,89,28,87,24,17,75,88,76,84,,,26,42,100,100,43,27,5,27,50,50,82,65,69,78,91,88,50,50,15,35,100,100,85,100,32,75,47,61,74,71,75,88,70,60,70,70,65,90,40,65,75,85,
69,82,7,19,9,9,29,81,94,88,84,15,83,35,79,73,90,70,18,29,83,76,80,,33,82,100,100,20,29,74,36,82,26,79,31,89,,85,83,78,74,84,66,78,19,82,21,38,76,82,31,78,,75,,50,50,27,80,77,25,85,73,50,50,76,67,17,34,22,50,,,18,21,81,69,81,67,80,76,,,,,76,70,19,22,14,19,21,24,22,34,72,69,77,33,74,25,50,50,79,33,74,80,33,63,34,76,29,32,79,33,23,28,74,66,29,71,80,69,73,30,81,70,
80,90,50,60,50,60,40,70,90,90,30,40,60,60,70,70,80,80,70,80,80,90,,,50,70,81,81,40,60,60,60,70,70,80,80,80,81,60,70,70,70,70,,60,60,70,70,50,70,50,60,70,70,40,50,60,70,70,60,60,60,70,80,40,80,70,70,40,60,40,50,70,70,70,80,50,60,50,60,70,80,50,60,50,70,50,60,80,80,50,60,40,50,50,50,50,50,60,70,70,80,85,90,50,70,70,80,80,80,40,70,60,60,60,70,60,70,60,70,70,70,50,60,71,70,70,70,
75,79,4,26,26,72,9,80,90,87,12,19,54,69,89,68,85,50,71,86,91,85,84,73,23,88,65,72,46,35,79,61,75,92,81,76,90,96,19,67,39,76,77,96,16,30,90,89,95,76,25,29,43,76,20,75,69,70,32,77,62,68,83,80,7,50,66,78,14,20,20,34,81,81,35,91,55,45,22,58,80,77,76,83,30,89,18,17,27,92,19,16,18,23,92,79,64,83,51,77,84,82,57,97,23,52,95,80,76,98,19,25,22,74,71,75,76,93,72,63,76,85,76,75,30,64,71,60,
73,63,30,56,9,74,10,66,91,78,9,14,82,58,87,67,85,54,69,72,90,72,64,36,27,59,62,57,30,9,71,16,74,31,71,72,77,65,22,29,61,28,80,62,26,22,83,70,79,72,22,25,67,22,18,26,79,31,19,80,74,42,66,64,0,75,66,33,5,33,9,26,78,76,8,80,21,29,20,56,81,68,33,35,8,76,12,77,65,68,10,61,13,34,74,66,52,33,55,20,86,66,25,10,5,71,86,73,86,73,15,17,13,37,71,65,77,64,84,70,77,21,73,35,34,23,71,30,14704
93,93,0,0,0,18,0,31,91,71,0,0,85,40,83,70,85,59,22,32,85,74,64,53,39,34,83,62,0,0,0,0,70,61,65,83,72,68,28,19,82,72,61,33,0,7,87,74,81,59,51,26,24,13,0,9,40,22,0,74,77,59,74,63,0,90,67,30,0,11,0,21,74,61,0,27,77,69,0,3,75,64,25,14,40,27,0,50,0,36,0,15,0,10,63,27,75,45,10,17,76,39,0,0,0,0,77,64,84,62,0,0,19,11,66,79,0,37,65,27,74,36,66,21,0,30,61,44,486125
