,title,meta,id,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,artist,mood
0,Feel Me,spotify:track:6MVpeuWKtKhQXtiqWZrTfU,6MVpeuWKtKhQXtiqWZrTfU,0.675,0.255,4,0,0.584,0.00306,160.063,0.126,0.0549,-12.093,Lil DeadBoy,sad
1,You Left,spotify:track:2zd9vETUSgFpbyT59Qdv9Y,2zd9vETUSgFpbyT59Qdv9Y,0.655,0.394,0,1,0.121,0,114.897,0.048,0.0398,-10.146,Lil DeadBoy,sad
2,Heartbreak,spotify:track:6mnnaeM6xHvwWwev8PoaBf,6mnnaeM6xHvwWwev8PoaBf,0.444,0.585,4,0,0.744,0,75.261,0.28,0.0638,-8.41,Lil DeadBoy,sad
3,Just,spotify:track:0duBHHbf5uUhb9h72LEH5v,0duBHHbf5uUhb9h72LEH5v,0.501,0.159,0,1,0.838,0.904,139.936,0.57,0.0345,-9.086,Himaniko,sad
4,Ready,spotify:track:6byrTP8gVkPnclsD2IRCo3,6byrTP8gVkPnclsD2IRCo3,0.463,0.137,0,1,0.804,0.935,77.799,0.439,0.0347,-9.979,Sakerizonoli,sad
33,yo q se,spotify:track:5PAh18eBXkV3WV5lPgW5Ww,5PAh18eBXkV3WV5lPgW5Ww,0.651,0.241,0,1,0.817,2.82e-05,80.048,0.443,0.0578,-18.001,Sebastián Cortés,sad
34,Happier,spotify:track:2RttW7RAu5nOAfq6YFvApB,2RttW7RAu5nOAfq6YFvApB,0.522,0.385,0,1,0.536,0,89.792,0.236,0.0288,-7.355,Ed Sheeran,sad
35,Jealous,spotify:track:4L2K7JKseFCBoHMZEAszW0,4L2K7JKseFCBoHMZEAszW0,0.435,0.155,1,1,0.873,0,128.532,0.0935,0.046,-8.948,Labrinth,sad
36,All I Want,spotify:track:0NlGoUyOJSuSHmngoibVAs,0NlGoUyOJSuSHmngoibVAs,0.209,0.412,0,1,0.172,0.15,86.26,0.162,0.0443,-9.733,Kodaline,sad
37,Ya No Te Hago Falta,spotify:track:4RIi1gNmKDzSH04Vvws2DK,4RIi1gNmKDzSH04Vvws2DK,0.56,0.311,9,1,0.934,6.02e-05,180.05,0.452,0.038,-8.508,Sen Senra,sad
38,El Mismo Aire - con Pablo Alborán,spotify:track:5EbtodsuLbxrFDH6j5avVS,5EbtodsuLbxrFDH6j5avVS,0.483,0.492,0,0,0.603,0,144.511,0.66,0.295,-6.591,Camilo,sad
39,Nunca Estoy,spotify:track:6f4LYJwICqxoAILj82kwB0,6f4LYJwICqxoAILj82kwB0,0.917,0.377,2,1,0.474,0.00367,134.994,0.398,0.161,-5.132,C. Tangana,sad
40,Aún me amas,spotify:track:6QpL9FS8ytyEIYrM2l7lSf,6QpL9FS8ytyEIYrM2l7lSf,0.478,0.591,5,1,0.272,0,78.121,0.466,0.0377,-7.278,Beret,sad
41,ya te vas,spotify:track:35Sc4rTNlRNSNfI8BPMnTl,35Sc4rTNlRNSNfI8BPMnTl,0.59,0.306,0,1,0.719,0.169,140.071,0.106,0.0388,-13.333,Natalia Lacunza,sad
42,Borracho,spotify:track:6D4d7V82Y86m3PJw7vUJVF,6D4d7V82Y86m3PJw7vUJVF,0.84,0.548,5,1,0.107,0,93.014,0.654,0.0773,-8.856,Sebastián Cortés,sad
43,Cerca Del Sol,spotify:track:35xgda7YzPYtn57d0jShNI,35xgda7YzPYtn57d0jShNI,0.6,0.221,2,1,0.828,0,102.842,0.487,0.0363,-8.463,st. Pedro,sad
44,Diferente,spotify:track:60YrZoQNcy90opzVnfoUrA,60YrZoQNcy90opzVnfoUrA,0.474,0.245,4,1,0.906,3.97e-05,75.002,0.241,0.138,-12.366,Belén Aguilera,sad
45,Todo No Fue Suficiente,spotify:track:4pl4n739AI8YPFrZp9qnqF,4pl4n739AI8YPFrZp9qnqF,0.442,0.533,5,1,0.0651,0,160.042,0.342,0.0288,-5.325,Ha*Ash,sad
46,Nos Queda Mucho Dolor Por Recorrer,spotify:track:51wUFdgpNsV8cVzu7i6N0l,51wUFdgpNsV8cVzu7i6N0l,0.671,0.289,1,1,0.693,0.00459,119.844,0.354,0.0318,-12.263,Ed Maverick,sad
47,Saturno,spotify:track:2f0Ft2XdvNSMSY5TUlZgEz,2f0Ft2XdvNSMSY5TUlZgEz,0.278,0.572,7,1,0.392,0,95.351,0.311,0.0407,-8.295,Pablo Alborán,sad
