,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
0,Earned It (Fifty Shades Of Grey),spotify:track:4frLb7nWtsz2ymBE6k2GRP,4frLb7nWtsz2ymBE6k2GRP,The Weeknd,0,0.659,0.291,2,0,0.405,0,119.829,0.406,0.0348,-8.275,sex
1,All The Time,spotify:track:0USZx50eApN045zIIyjePN,0USZx50eApN045zIIyjePN,Jeremih,1,0.675,0.44,9,0,0.545,6.24e-06,109.823,0.0338,0.349,-9.298,sex
2,Ride,spotify:track:1CI6YgwwNq3VfhgxPuEpE6,1CI6YgwwNq3VfhgxPuEpE6,SoMo,2,0.699,0.524,11,1,0.412,0,114.922,0.31,0.051,-7.522,sex
3,Birthday Sex,spotify:track:4NpDZPwSXmL0cCTaJuVrCw,4NpDZPwSXmL0cCTaJuVrCw,Jeremih,1,0.679,0.522,7,0,0.297,0,60.014,0.445,0.0427,-5.603,sex
4,B.E.D.,spotify:track:1B6TmCvKjC4dopBohVW51x,1B6TmCvKjC4dopBohVW51x,Jacquees,3,0.739,0.536,1,1,0.00368,0,122.022,0.193,0.0587,-6.501,sex
5,Grind With Me,spotify:track:3B7i9OKRRmIsSBHEbJz58Y,3B7i9OKRRmIsSBHEbJz58Y,Pretty Ricky,4,0.7,0.538,1,1,0.000204,0,136.518,0.189,0.045,-5.952,sex
6,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",spotify:track:7t2bFihaDvhIrd2gn2CWJO,7t2bFihaDvhIrd2gn2CWJO,Ty Dolla $ign,5,0.805,0.33,1,0,0.22,0,121.97,0.211,0.1,-8.712,sex
7,Wus Good / Curious,spotify:track:2ekdnv2xVIyAdG3ySoDDeY,2ekdnv2xVIyAdG3ySoDDeY,PARTYNEXTDOOR,6,0.344,0.537,8,0,0.0727,0.000127,82.878,0.453,0.079,-8.215,sex
8,I Just Wanna...,spotify:track:0Zr8z1TgQl27P3qYqQltG2,0Zr8z1TgQl27P3qYqQltG2,Elijah Blake,7,0.754,0.661,1,1,0.00271,2.12e-05,130.037,0.545,0.0587,-6.638,sex
9,All That Matters,spotify:track:70XP39KE8vTgxtRXcwfxJA,70XP39KE8vTgxtRXcwfxJA,Justin Bieber,8,0.696,0.513,6,0,0.00508,0,129.859,0.144,0.0424,-5.567,sex
10,Wet Dreamz,spotify:track:6Ius4TC0L3cN74HT7ENE6e,6Ius4TC0L3cN74HT7ENE6e,J. Cole,9,0.517,0.705,6,0,0.0751,0,175.906,0.584,0.364,-8.205,sex
11,Fire & Desire,spotify:track:4BhGTc3Cgay2U1QcTS7vQe,4BhGTc3Cgay2U1QcTS7vQe,Drake,10,0.722,0.252,1,0,0.0671,0,79.923,0.275,0.0761,-14.411,sex
12,Girls Need Love,spotify:track:644rGY6maSElnKVsAg1gJj,644rGY6maSElnKVsAg1gJj,Summer Walker,11,0.645,0.418,6,0,0.558,0.0003,96.963,0.123,0.29,-10.065,sex
13,Loveeeeeee Song,spotify:track:3DZQ6mzUkAdHqZWzqxBKIK,3DZQ6mzUkAdHqZWzqxBKIK,Rihanna,12,0.71,0.598,5,0,0.508,0,119.981,0.501,0.0319,-7.598,sex
14,The Big Bang,spotify:track:3zbrrPKjo7GprwgGyXzEsO,3zbrrPKjo7GprwgGyXzEsO,Rock Mafia,13,0.902,0.816,0,0,0.124,8.94e-06,96.01,0.894,0.0312,-3.077,sex
15,Sativa,spotify:track:0MqOr7Mn0484bXVnlO4QeZ,0MqOr7Mn0484bXVnlO4QeZ,Jhené Aiko,14,0.741,0.62,6,0,0.334,0,126.028,0.7,0.0472,-7.439,sex
16,Redbone,spotify:track:3kxfsdsCpFgN412fpnW85Y,3kxfsdsCpFgN412fpnW85Y,Childish Gambino,15,0.745,0.356,1,1,0.172,0.00943,160.033,0.607,0.0941,-10.425,sex
17,Needed Me,spotify:track:4pAl7FkDMNBsjykPXo91B3,4pAl7FkDMNBsjykPXo91B3,Rihanna,12,0.671,0.314,5,0,0.11,0,110.898,0.296,0.244,-8.091,sex
18,No Idea - Dj Purpberry Chopped and Screwed,spotify:track:3PEwQ1uaMwg0ehoTeVm7Yq,3PEwQ1uaMwg0ehoTeVm7Yq,Don Toliver,16,0.682,0.443,2,0,0.596,0.00539,99.891,0.582,0.0554,-10.787,sex
19,Get You (feat. Kali Uchis),spotify:track:7zFXmv6vqI4qOt4yGf3jYZ,7zFXmv6vqI4qOt4yGf3jYZ,Daniel Caesar,17,0.658,0.294,4,0,0.422,5.2e-05,74.038,0.358,0.0321,-8.533,sex
20,Close,spotify:track:3lSDIJ2abCrOdDJ6pshUap,3lSDIJ2abCrOdDJ6pshUap,Nick Jonas,18,0.654,0.623,6,0,0.253,0,123.996,0.401,0.082,-5.273,sex
21,Confident,spotify:track:5Isz0twJeFdduOQEFQLezv,5Isz0twJeFdduOQEFQLezv,Justin Bieber,8,0.738,0.563,5,0,0.113,0,134.132,0.876,0.11,-5.467,sex
22,Selfish,spotify:track:2xbI8Vmyv3TkpTdywpPyNw,2xbI8Vmyv3TkpTdywpPyNw,PnB Rock,19,0.638,0.6,1,0,0.114,0,101.981,0.0399,0.0438,-5.84,sex
23,Sure Thing,spotify:track:0JXXNGljqupsJaZsgSbMZV,0JXXNGljqupsJaZsgSbMZV,Miguel,20,0.684,0.603,11,0,0.0275,0.000311,81.0,0.504,0.0989,-8.127,sex
24,No Sense,spotify:track:5L9WFUodzACitS1TiGm7Mi,5L9WFUodzACitS1TiGm7Mi,Justin Bieber,8,0.643,0.499,2,0,0.0478,0,133.978,0.363,0.0308,-6.795,sex
25,Hey There (feat. Future),spotify:track:2CWLbhbetnGxB7JnOK3LNJ,2CWLbhbetnGxB7JnOK3LNJ,DeJ Loaf,21,0.633,0.524,1,0,0.362,0.000146,85.016,0.375,0.134,-10.111,sex
26,TLC,spotify:track:4NLxeMlW2JQ2WFg3hVlMsd,4NLxeMlW2JQ2WFg3hVlMsd,Sy Ari Da Kid,22,0.561,0.247,8,0,0.269,7.28e-06,125.707,0.288,0.327,-12.877,sex
