,Unnamed: 0,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
208,244,Youth,spotify:track:4AmcmraFjVzFb9SQDNTRyl,4AmcmraFjVzFb9SQDNTRyl,Daughter,115,0.4,0.525,0,1,0.887,0.00543,146.977,0.408,0.0435,-11.294,sad
1549,1950,Hurts So Good,spotify:track:46ydq5g3k17iLJs3qMDvO6,46ydq5g3k17iLJs3qMDvO6,Astrid S,784,0.675,0.609,7,0,0.084,0.0,120.039,0.37799999999999995,0.0586,-5.027,sad
2339,2339,Pound The Alarm,spotify:track:5kcE7pp02ezLZaUbbMv3Iq,5kcE7pp02ezLZaUbbMv3Iq,Nicki Minaj,86,0.728,0.858,9,1,0.0403,4.09e-06,125.055,0.591,0.0609,-3.686,party
722,862,Hate The Other Side (with Marshmello & The Kid Laroi),spotify:track:66FgjA5ZQJJuypFG1bc8se,66FgjA5ZQJJuypFG1bc8se,Juice WRLD,47,0.701,0.65,6,1,0.29100000000000004,0.0,90.00299999999999,0.647,0.10400000000000001,-6.313,sad
711,849,UGLY,spotify:track:2QfkJ9lURgRpcFT2Y0B1e3,2QfkJ9lURgRpcFT2Y0B1e3,XXXTENTACION,49,0.528,0.325,2,1,0.857,0.0145,83.65100000000001,0.0412,0.0293,-12.501,sad
170,171,24 Karat,spotify:track:6bN7SokNMZlZatJVWsB43V,6bN7SokNMZlZatJVWsB43V,Alexi Blue,130,0.793,0.419,9,0,0.609,0,130.117,0.306,0.256,-9.409,sex
1185,1520,forever,spotify:track:0KJwLTN2yjVgPLKa7gyJip,0KJwLTN2yjVgPLKa7gyJip,j'san,619,0.6629999999999999,0.319,5,1,0.919,0.853,81.072,0.0759,0.0449,-12.536,sad
42,70,Lo siento,spotify:track:5o2M4yHxo9kyNLdgihFeV1,5o2M4yHxo9kyNLdgihFeV1,Beret,10,0.36200000000000004,0.42,2,1,0.655,0.0,77.077,0.284,0.0582,-7.9510000000000005,sad
875,1104,Hunnybee,spotify:track:3DPFmwFtV5ElQaTniLOdgk,3DPFmwFtV5ElQaTniLOdgk,Unknown Mortal Orchestra,470,0.956,0.373,6,1,0.569,0.39399999999999996,119.994,0.568,0.0773,-7.962999999999999,sad
1565,1982,911,spotify:track:6qI0MU175Dk2DeoUjlrOpy,6qI0MU175Dk2DeoUjlrOpy,Lady Gaga,827,0.789,0.813,5,1,0.0294,2.07e-06,116.007,0.42,0.0374,-4.563,sex
