,acousticness,artist,class,danceability,energy,instrumentalness,key,loudness,mode,playlist_id,speechiness,tempo,title,valence,category,tf_idf_wonder,tf_idf_transcendence,tf_idf_nostalgia,tf_idf_tenderness,tf_idf_peacefullness,tf_idf_power,tf_idf_joyful,tf_idf_tension,tf_idf_sadness
0,0.0697,Ava Max,happy,0.614,0.934,0.0,9,-3.7089999999999996,0,37i9dQZF1DXdPec7aLTmlC,0.07,116.001,My Head & My Heart,0.436,wonder,9.682065019420152,0.0,0.0,0.0,0.0,17.784697817990534,4.789157022101107,9.321209785752384,4.690430029938915
1,0.0544,Sia,happy,0.5720000000000001,0.623,0.0,8,-4.828,1,37i9dQZF1DXdPec7aLTmlC,0.17600000000000002,185.812,Hey Boy,0.594,wonder,22.893341226212925,0.0,4.54656275903462,0.0,4.556303095783004,0.0,13.580378272900848,4.398240628408701,8.856131530942848
2,0.0863,Sam Feldt,happy,0.667,0.8270000000000001,0.0,11,-5.631,1,37i9dQZF1DXdPec7aLTmlC,0.0368,107.95,The Best Days (feat. Tabitha),0.573,wonder,14.237166989717254,0.0,0.0,0.0,0.0,4.350864274693309,23.46923421148391,0.0,9.19023970026918
3,0.105,Jason Derulo,happy,0.738,0.85,0.0,8,-3.049,1,37i9dQZF1DXdPec7aLTmlC,0.0642,98.01299999999999,Love Not War (The Tampa Beat),0.865,wonder,14.839179076103706,0.0,0.0,4.484884020113589,0.0,9.103069940310919,4.894517537758934,0.0,9.591581091193483
4,0.217,Tones And I,happy,0.8059999999999999,0.513,0.0,4,-6.207999999999999,1,37i9dQZF1DXdPec7aLTmlC,0.0685,124.988,Fly Away,0.503,wonder,6.450470422144176,0.0,0.0,0.0,0.0,0.0,6.398594934535208,0.0,0.0
5,0.151,24kGoldn,happy,0.721,0.745,1.24e-06,7,-3.508,0,37i9dQZF1DXdPec7aLTmlC,0.0366,90.988,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",0.6990000000000001,wonder,6.450470422144176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.299867942373015
6,0.017,Engelwood,happy,0.57,0.9520000000000001,0.579,7,-5.365,1,37i9dQZF1DXdPec7aLTmlC,0.0855,191.923,Tasty Jam,0.529,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0255,Nelly,happy,0.7070000000000001,0.6890000000000001,0.0,4,-7.097,0,37i9dQZF1DXdPec7aLTmlC,0.0387,119.98700000000001,Lil Bit,0.41,wonder,5.757323241584231,0.0,0.0,10.591628472659837,0.0,0.0,0.0,5.576895624750347,0.0
8,0.057999999999999996,Ritt Momney,happy,0.39899999999999997,0.49200000000000005,0.00101,6,-10.777000000000001,0,37i9dQZF1DXdPec7aLTmlC,0.0538,91.066,Put Your Records On,0.159,wonder,12.900940844288352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.131,Shawn Mendes,happy,0.33299999999999996,0.637,1.8e-05,1,-4.904,0,37i9dQZF1DXdPec7aLTmlC,0.0581,139.898,Wonder,0.132,wonder,15.698967111343682,0.0,3.892636291627956,17.31616386290804,39.02376628376341,0.0,3.872866290226952,3.7443141610020367,11.32241789419428
10,0.41200000000000003,Sandro Cavazza,happy,0.799,0.419,0.0,6,-7.99,1,37i9dQZF1DXdPec7aLTmlC,0.174,156.055,Lean On Me,0.716,wonder,6.450470422144176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.299867942373015
11,0.179,Ella Henderson,happy,0.602,0.636,0.0,8,-6.584,1,37i9dQZF1DXdPec7aLTmlC,0.0563,117.962,Dream On Me,0.547,wonder,6.045005314036012,0.0,6.012899827828047,0.0,6.022640164576432,0.0,0.0,0.0,0.0
12,0.16,Jawsh 685,happy,0.758,0.598,0.0,0,-5.695,0,37i9dQZF1DXdPec7aLTmlC,0.0868,149.836,Savage Love (Laxed – Siren Beat) [BTS Remix],0.6579999999999999,wonder,17.271969724752694,0.0,0.0,0.0,0.0,0.0,0.0,5.576895624750347,0.0
13,0.0494,JVKE,happy,0.88,0.501,0.0695,2,-6.774,1,37i9dQZF1DXdPec7aLTmlC,0.062,120.038,Upside Down,0.45899999999999996,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0264,Aloe Blacc,happy,0.722,0.59,0.0,2,-7.5120000000000005,1,37i9dQZF1DXdPec7aLTmlC,0.0435,104.931,Hold On Tight,0.368,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.009340000000000001,Augustine,happy,0.8190000000000001,0.655,0.00016,9,-7.171,1,37i9dQZF1DXdPec7aLTmlC,0.0487,120.01,Coast - Spotify Studio Oyster Recording,0.6809999999999999,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.019,Kygo,happy,0.6809999999999999,0.773,1.28e-06,5,-5.749,1,37i9dQZF1DXdPec7aLTmlC,0.14800000000000002,119.961,Hot Stuff,0.429,wonder,41.99178623537681,0.0,0.0,3.7376696182833684,0.0,0.0,24.883818815572276,8.037502013407595,0.0
17,0.247,Keith Urban,happy,0.6970000000000001,0.535,0.0,4,-6.504,1,37i9dQZF1DXdPec7aLTmlC,0.068,82.959,One Too Many,0.594,wonder,6.045005314036012,0.0,0.0,0.0,6.022640164576432,0.0,0.0,0.0,5.8944028342648505
18,0.196,Justin Bieber,happy,0.6729999999999999,0.7040000000000001,0.0,6,-8.056000000000001,1,37i9dQZF1DXdPec7aLTmlC,0.36,86.919,Holy (feat. Chance The Rapper),0.37200000000000005,wonder,16.796714494150724,0.0,4.167073137329716,18.68834809141684,12.530440422234303,3.8043205683252386,4.147303135928713,12.056253020111392,4.04857614376652
19,0.132,Seeb,happy,0.5579999999999999,0.905,0.00055,9,-4.121,1,37i9dQZF1DXdPec7aLTmlC,0.0414,102.905,Colourblind,0.36200000000000004,wonder,12.900940844288352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.29100000000000004,HEDEGAARD,happy,0.742,0.7509999999999999,0.0,1,-6.1370000000000005,0,37i9dQZF1DXdPec7aLTmlC,0.0622,99.999,Alone With You (HEDEGAARD X Conor Maynard feat. Katie Pearlman),0.175,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
